0,0,27
0,0,23
0,0,34
0,0,35
0,0,41
0,0,36
0,0,41
0,0,51
0,0,41
0,0,36
0,0,0
0,0,30
0,0,39
0,0,31
0,0,30
0,0,34
0,0,30
0,0,40
0,0,31
0,0,39
0,0,177
0,0,235
0,0,223
0,0,106
0,0,147
0,0,132
0,0,92
0,0,235
0,0,282
0,0,344
0,0,235
0,0,190
0,0,67
0,0,31
0,0,24
0,0,43
0,0,30
0,0,28
0,0,32
0,0,26
0,0,28
0,0,35
0,0,30
0,0,36
0,0,35
0,0,36
0,0,34
0,0,36
0,0,38
0,0,44
0,0,45
0,0,0
0,0,48
0,0,38
0,0,36
0,0,33
0,0,36
0,0,25
0,0,36
0,0,30
0,0,37
0,0,222
0,0,180
0,0,140
0,0,42
0,0,40
0,0,35
0,0,45
0,0,196
0,0,179
0,0,39
0,0,55
0,0,59
0,0,38
0,0,25
0,0,25
0,0,39
0,0,28
0,0,22
0,0,29
0,0,31
0,0,30
0,0,32
0,0,28
0,0,35
0,0,30
0,0,43
0,0,70
0,0,40
0,0,35
0,0,58
0,0,37
0,0,0
0,0,35
0,0,30
0,0,38
0,0,37
0,0,36
0,0,36
0,0,37
0,0,36
0,0,25
0,0,200
0,0,93
0,0,215
0,0,169
0,0,93
0,0,32
0,0,19
0,0,62
0,0,76
0,0,88
0,0,37
0,0,99
0,0,40
0,0,25
0,0,27
0,0,39
0,0,26
0,0,31
0,0,26
0,0,28
0,0,31
0,0,29
0,0,31
0,0,39
0,0,27
0,0,38
0,0,63
0,0,42
0,0,39
0,0,38
0,0,39
0,0,0
0,0,29
0,0,34
0,0,31
0,0,34
0,0,41
0,0,42
0,0,37
0,0,29
0,0,33
0,0,212
0,0,231
0,0,245
0,0,147
0,0,137
0,0,211
0,0,262
0,0,229
0,0,199
0,0,220
0,0,255
0,0,278
0,0,118
0,0,34
0,0,33
0,0,33
0,0,40
0,0,28
0,0,27
0,0,28
0,0,30
0,0,36
0,0,36
0,0,41
0,0,63
0,0,80
0,0,70
0,0,41
0,0,39
0,0,46
0,0,42
0,0,0
0,0,43
0,0,42
0,0,46
0,0,41
0,0,44
0,0,33
0,0,32
0,0,42
0,0,38
0,0,149
0,0,208
0,0,151
0,0,222
0,0,308
0,0,238
0,0,225
0,0,181
0,0,54
2,0,178
0,0,272
0,0,213
0,0,38
0,0,36
0,0,44
0,0,28
0,0,49
0,0,30
0,0,35
0,0,30
0,0,28
0,0,32
0,0,38
0,0,39
0,0,73
0,0,174
0,0,112
0,0,46
0,0,77
0,0,58
0,0,39
0,0,0
0,0,37
0,0,43
0,0,40
0,0,38
0,0,43
0,0,33
0,0,32
0,0,33
0,0,51
0,0,322
0,0,134
0,0,54
0,0,30
0,0,273
0,0,372
0,0,368
0,0,214
0,0,60
0,0,275
0,0,203
0,0,224
0,0,30
0,0,31
0,0,39
0,0,45
0,0,52
0,0,28
0,0,27
0,0,32
0,0,32
0,0,33
0,0,37
0,0,66
0,0,75
0,0,139
0,0,91
0,0,120
0,0,38
0,0,78
0,0,118
0,0,0
0,0,45
0,0,37
0,0,40
0,0,32
0,0,35
0,0,26
0,0,30
0,0,30
0,0,53
0,0,184
0,0,54
0,0,44
0,0,41
0,0,85
0,0,126
0,0,115
0,0,98
0,0,46
0,0,46
0,0,33
0,0,32
0,0,36
0,0,26
0,0,31
0,0,29
0,0,34
0,0,37
0,0,37
0,0,28
0,0,25
0,0,35
0,0,39
0,0,39
0,0,51
0,0,101
0,0,78
0,0,63
0,0,35
0,0,43
0,0,182
0,0,0
0,0,40
0,0,39
0,0,39
0,0,33
0,0,32
0,0,38
0,0,31
0,0,32
0,0,27
0,0,55
0,0,51
0,0,36
0,0,32
0,0,36
0,0,37
0,0,45
0,0,38
0,0,36
0,0,48
0,0,37
0,0,44
0,0,31
0,0,29
0,0,29
0,0,30
0,0,49
0,0,30
0,0,39
0,0,25
0,0,34
0,0,34
0,0,42
0,0,41
0,0,53
0,0,36
0,0,49
0,0,97
0,0,86
0,0,93
0,0,257
0,0,0
0,0,38
0,0,40
0,0,42
0,0,46
0,0,44
0,0,36
0,0,36
0,0,42
0,0,43
0,0,49
0,0,36
0,0,33
0,0,34
0,0,31
0,0,38
0,0,33
0,0,35
0,0,29
0,0,29
0,0,27
0,0,28
0,0,25
0,0,33
0,0,27
0,0,16
0,0,54
0,0,33
0,0,45
0,0,36
0,0,32
0,0,44
0,0,42
0,0,46
0,0,40
0,0,42
0,0,44
0,0,108
0,0,111
0,0,123
0,0,166
0,0,0
0,0,42
0,0,28
0,0,40
0,0,29
0,0,41
0,0,41
0,0,36
0,0,29
0,0,43
0,0,30
0,0,45
0,0,31
0,0,40
0,0,33
0,0,39
0,0,25
0,0,35
0,0,32
0,0,32
0,0,36
0,0,40
0,0,41
0,0,35
0,0,46
0,0,36
0,0,51
0,0,33
0,0,33
0,0,36
0,0,38
0,0,29
0,0,30
0,0,48
0,0,36
0,0,36
0,0,52
0,0,85
0,0,157
0,0,120
0,0,137
0,0,0
0,0,33
0,0,32
0,0,49
0,0,32
0,0,40
0,0,39
0,0,38
0,0,41
0,0,35
0,0,44
0,0,42
0,0,26
0,0,38
0,0,44
0,0,33
0,0,34
0,0,33
0,0,29
0,0,36
0,0,34
0,0,37
0,0,38
0,0,29
0,0,43
0,0,33
0,0,65
0,0,33
0,0,44
0,0,37
0,0,40
0,0,37
0,0,47
0,0,45
0,0,34
0,0,31
0,0,57
0,0,74
0,0,104
0,0,78
0,0,145
0,0,0
0,0,44
0,0,44
0,0,44
0,0,42
0,0,37
0,0,31
0,0,37
0,0,37
0,0,37
0,0,36
0,0,28
0,0,34
0,0,31
0,0,28
0,0,35
0,0,35
0,0,36
0,0,31
0,0,35
0,0,37
0,0,39
0,0,36
0,0,30
0,0,59
0,0,38
0,0,65
0,0,36
0,0,40
0,0,31
0,0,30
0,0,45
0,0,50
0,0,43
0,0,43
0,0,38
0,0,45
0,0,86
0,0,106
0,0,144
0,0,134
0,0,0
0,0,46
0,0,60
0,0,37
0,0,36
0,0,43
0,0,27
0,0,39
0,0,38
0,0,28
0,0,49
0,0,36
0,0,35
0,0,34
0,0,34
0,0,30
0,0,38
0,0,28
0,0,30
0,0,43
0,0,35
0,0,27
0,0,34
0,0,40
0,0,48
0,0,32
0,0,60
0,0,27
0,0,38
0,0,34
0,0,24
0,0,40
0,0,46
0,0,53
0,0,35
0,0,33
0,0,44
0,0,98
0,0,124
0,-2,120
0,0,172
0,0,0
0,0,68
0,0,84
0,0,77
0,0,51
0,0,83
0,0,67
0,0,84
0,0,65
0,0,60
0,0,57
0,0,40
0,0,42
0,0,44
0,0,39
0,0,40
0,0,50
0,0,33
0,0,34
0,0,28
0,0,30
0,0,33
0,0,36
0,0,31
0,0,21
0,0,12
0,0,31
0,0,31
0,0,32
0,0,35
0,0,34
0,0,42
0,0,48
0,0,42
0,0,51
0,0,38
0,0,37
0,0,47
0,0,50
0,0,56
0,0,49
0,0,0
0,0,42
0,0,43
0,0,48
0,0,55
0,0,33
0,0,68
0,0,33
0,0,84
0,0,69
0,0,94
0,0,39
0,0,34
0,0,35
0,0,33
0,0,29
0,0,34
0,0,29
0,0,38
0,0,35
0,0,38
0,0,30
0,0,47
0,0,54
0,0,29
0,0,23
0,0,34
0,0,25
0,0,37
0,0,35
0,0,26
0,0,30
0,0,40
0,0,37
0,0,41
0,0,46
0,0,54
0,0,51
0,0,53
0,0,30
0,0,37
0,0,0
0,0,27
0,0,33
0,0,32
0,0,31
0,0,40
0,0,71
0,0,23
0,0,53
0,0,54
0,0,95
0,0,35
0,0,36
0,0,24
0,0,25
0,0,22
0,0,18
0,0,27
0,0,23
0,0,26
0,0,29
0,0,33
0,0,94
0,0,79
0,0,39
0,0,23
0,0,26
0,0,41
0,0,33
0,0,36
0,0,30
0,0,39
0,0,40
0,0,42
0,0,52
0,0,46
0,0,60
0,0,45
0,0,54
0,0,46
0,0,48
0,0,0
0,0,40
0,0,28
0,0,40
0,0,48
0,0,40
0,0,48
0,0,19
0,0,60
0,0,52
0,0,85
0,0,37
0,0,35
0,0,25
0,0,30
0,0,33
0,0,25
0,0,31
0,0,31
0,0,30
0,0,25
0,0,79
0,0,64
0,0,28
0,0,40
0,0,22
0,0,30
0,0,27
0,0,24
0,0,29
0,0,39
0,0,32
0,0,29
0,0,36
0,0,59
0,0,47
0,0,42
0,0,28
0,0,59
0,0,51
0,0,47
0,0,0
0,0,37
0,0,40
0,0,44
0,0,38
0,0,33
0,0,45
0,0,25
0,6,92
0,0,52
0,0,71
0,0,78
0,0,32
0,0,34
0,0,25
0,0,27
0,0,28
0,0,22
0,0,27
0,0,14
0,0,29
0,0,145
0,0,100
0,0,26
0,0,30
0,0,22
0,0,21
0,0,20
0,0,31
0,0,28
0,0,36
0,0,41
0,0,30
0,0,34
0,0,42
0,0,36
0,0,42
0,0,28
0,0,57
0,0,45
0,0,38
0,0,0
0,0,23
0,0,46
0,0,43
0,0,45
0,0,38
0,0,83
0,0,43
0,0,60
0,0,53
0,0,130
0,0,190
0,0,40
0,0,20
0,0,23
0,0,28
0,0,28
0,0,16
0,0,24
0,0,27
0,0,28
0,0,179
0,0,87
0,0,31
0,0,33
0,0,27
0,0,35
0,0,32
0,0,27
0,0,39
0,0,30
0,0,28
0,0,24
0,0,31
0,0,39
0,0,39
0,0,46
0,0,35
0,0,62
0,0,36
0,0,47
0,0,0
0,0,43
0,0,41
0,0,36
0,0,53
0,0,24
0,0,58
0,0,48
0,0,39
0,0,37
0,0,96
0,0,32
0,0,23
0,0,26
0,0,31
0,0,23
0,0,32
0,0,25
0,0,25
0,0,23
0,0,21
0,0,37
0,0,97
0,0,43
0,0,37
0,0,32
0,0,73
0,0,59
0,0,27
0,0,34
0,0,26
0,0,36
0,0,26
0,0,29
0,0,39
0,0,44
0,0,46
0,0,35
0,0,69
0,0,39
0,0,47
0,0,0
0,0,38
0,0,38
0,0,40
0,0,40
0,0,44
0,0,46
0,0,57
0,0,40
0,0,37
0,0,97
0,0,39
0,0,36
0,0,34
0,0,32
0,0,24
0,0,29
0,0,24
0,0,27
0,0,20
0,0,26
0,0,21
0,0,92
0,0,43
0,0,27
0,0,30
0,0,83
0,0,68
0,0,21
0,0,33
0,0,22
0,0,27
0,0,27
0,0,36
0,0,36
0,0,41
0,0,39
0,0,28
0,0,57
0,0,34
0,0,44
0,0,0
0,0,54
0,0,43
0,0,59
0,0,71
0,0,43
0,0,51
0,0,58
0,0,55
0,0,40
0,0,106
0,0,27
0,0,27
0,0,29
0,0,33
0,0,24
0,0,19
0,0,28
0,0,26
0,0,30
0,0,57
0,0,25
0,0,88
0,0,48
0,0,34
0,0,30
0,0,78
0,0,65
0,0,21
0,0,30
0,0,32
0,0,26
0,0,23
0,0,37
0,0,33
0,0,36
0,0,36
0,0,26
0,0,53
0,0,29
0,0,38
0,0,0
0,0,45
0,0,52
0,0,68
0,0,55
0,0,38
0,0,49
0,0,45
0,0,61
0,0,23
0,0,90
0,0,40
0,0,155
0,0,105
0,0,34
0,0,33
0,0,27
0,0,24
0,0,29
0,0,85
0,0,142
0,0,25
0,0,94
0,0,34
0,0,38
0,0,48
0,0,98
0,0,67
0,0,25
0,0,23
0,0,26
0,0,33
0,0,32
0,0,31
0,0,39
0,0,50
0,0,34
0,0,28
0,0,61
0,0,37
0,0,35
0,0,0
0,0,52
0,0,32
0,0,51
0,0,32
0,0,29
0,0,36
0,0,32
0,0,62
0,0,16
0,0,102
0,0,23
0,0,59
0,0,123
0,0,114
0,0,28
0,0,23
0,0,25
0,0,28
0,0,211
0,0,233
0,0,45
0,0,90
0,0,31
0,0,36
0,0,64
0,0,93
0,0,73
0,0,24
0,0,31
0,0,27
0,0,154
0,0,180
0,0,171
0,0,102
0,0,45
0,0,31
0,0,21
0,0,38
0,0,26
0,0,37
0,0,0
0,0,39
0,0,30
0,0,52
0,0,29
0,0,57
0,0,27
0,0,41
0,0,46
0,0,30
0,0,97
0,0,45
0,0,50
0,0,85
0,0,129
0,0,27
0,0,40
0,0,36
0,0,43
0,0,116
0,0,139
0,0,35
0,0,97
0,0,44
0,0,31
0,0,59
0,0,65
0,0,60
0,0,28
0,0,26
0,0,24
0,0,132
0,0,239
0,0,209
0,-6,121
0,0,34
0,0,44
0,0,35
0,0,52
0,0,38
0,0,39
0,0,0
0,0,45
0,0,38
0,0,37
0,0,41
0,0,41
0,0,44
0,0,49
0,0,30
0,0,28
0,0,80
0,0,27
0,0,35
0,0,30
0,0,192
0,0,73
0,0,40
0,0,38
0,0,58
0,0,354
0,0,57
0,0,41
0,0,86
0,0,53
0,0,46
0,0,38
0,0,24
0,0,35
0,0,24
0,0,33
0,0,23
0,0,128
0,0,197
0,0,137
0,0,106
0,0,50
0,0,32
0,0,32
0,0,52
0,0,42
0,0,39
0,0,0
0,0,43
0,0,34
0,0,50
0,0,27
0,0,39
0,0,40
0,0,51
0,0,52
0,0,23
0,0,103
0,0,195
0,0,51
0,0,55
0,0,82
0,0,195
0,0,53
0,0,51
0,0,177
0,0,169
0,0,45
0,0,49
0,0,86
0,0,44
0,0,36
0,0,20
0,0,17
0,0,34
0,0,32
0,0,28
0,0,28
0,0,49
0,0,26
0,0,25
0,0,29
0,0,42
0,0,38
0,0,31
0,0,50
0,0,46
0,0,42
0,0,0
0,0,42
0,0,46
0,0,49
0,0,40
0,0,52
0,0,27
0,0,39
0,0,53
0,0,27
0,0,79
0,0,61
0,0,65
0,0,56
0,0,87
0,0,115
0,0,70
0,0,75
0,0,106
0,0,67
0,0,83
0,0,68
0,0,71
0,0,40
0,0,44
0,0,31
0,0,41
0,0,34
0,0,29
0,0,22
0,0,27
0,0,54
0,0,60
0,0,62
0,0,39
0,0,40
0,0,34
0,0,42
0,0,52
0,0,44
0,0,38
0,0,0
0,0,43
0,0,31
0,0,33
0,0,35
0,0,54
0,0,37
0,0,45
0,0,36
0,0,41
0,0,65
0,0,29
0,0,28
0,0,69
0,0,111
0,0,110
0,0,61
0,0,40
0,0,52
0,0,43
0,0,63
0,0,35
0,0,46
0,0,35
0,0,29
0,0,31
0,0,63
0,0,27
0,0,27
0,0,25
0,0,27
0,0,43
0,0,26
0,0,37
0,0,41
0,0,54
0,0,41
0,0,37
0,0,41
0,0,40
0,0,50
0,0,0
0,0,44
0,0,33
0,0,56
0,0,34
0,0,42
0,0,38
0,0,41
0,0,38
0,0,47
0,0,55
0,0,28
0,0,42
0,0,99
0,0,108
0,0,175
0,0,120
0,0,31
0,0,39
0,0,23
0,0,59
0,0,19
0,0,128
0,0,35
0,0,35
0,0,34
0,0,48
0,0,26
0,0,32
0,0,33
0,0,19
0,0,40
0,0,28
0,0,30
0,0,35
0,0,53
0,0,30
0,0,36
0,0,46
0,0,53
0,0,41
0,0,0
0,0,48
0,0,40
0,0,39
0,0,35
0,0,37
0,0,25
0,0,51
0,0,47
0,0,51
0,0,120
0,0,77
0,0,92
0,0,53
0,0,104
0,0,83
0,0,63
0,0,114
0,0,184
0,0,151
0,0,98
0,0,122
0,0,82
0,0,29
0,0,22
0,0,45
0,0,34
0,0,35
0,0,26
0,0,28
0,0,36
0,0,33
0,0,28
0,0,47
0,0,27
0,0,45
0,0,32
0,0,36
0,0,45
0,0,44
0,0,37
0,0,0
0,0,39
0,0,46
0,0,38
0,0,32
0,0,45
0,0,32
0,0,33
0,0,40
0,0,47
0,0,97
0,0,68
0,0,90
0,0,23
0,0,33
0,0,26
0,0,29
0,0,109
0,0,96
0,0,30
0,0,30
0,0,79
0,0,22
0,0,30
0,0,33
0,0,46
0,0,35
0,0,39
0,0,33
0,0,30
0,0,30
0,0,45
0,0,26
0,0,29
0,0,27
0,0,52
0,0,76
0,0,33
0,0,42
0,0,44
0,0,40
0,0,0
0,0,49
0,0,36
0,0,51
0,0,26
0,0,40
0,0,36
0,0,44
0,0,29
0,0,25
0,0,78
0,0,42
0,0,94
0,0,69
0,0,66
0,0,22
0,0,32
0,0,41
0,0,49
0,0,34
0,0,20
0,0,81
0,0,34
0,0,36
0,0,32
0,0,45
0,0,34
0,0,32
0,0,27
0,0,32
0,0,31
0,0,49
0,0,41
0,0,35
0,0,38
0,0,58
0,0,68
0,0,43
0,0,31
0,0,55
0,0,42
0,0,0
0,0,31
0,0,37
0,0,32
0,0,32
0,0,36
0,0,38
0,0,34
0,0,31
0,0,43
0,0,95
0,0,72
0,0,77
0,0,68
0,0,90
0,0,46
0,0,72
0,0,71
0,0,66
0,0,84
0,0,76
0,0,132
0,0,73
0,0,44
0,0,39
0,0,38
0,0,38
0,0,30
0,0,32
0,0,30
0,0,32
0,0,41
0,0,32
0,0,49
0,0,54
0,0,133
0,0,73
0,0,32
0,0,29
0,0,49
0,0,45
0,0,0
0,0,40
0,0,35
0,0,45
0,0,40
0,0,46
0,0,41
0,0,41
0,0,39
0,0,45
0,0,57
0,0,92
0,0,59
0,0,78
0,0,105
0,0,93
0,0,91
0,0,67
0,0,28
0,0,82
0,0,125
0,0,61
0,0,27
0,0,29
0,0,46
0,0,32
0,0,48
0,0,33
0,0,37
0,0,30
0,0,24
0,0,31
0,0,38
0,0,35
0,0,89
0,0,216
0,0,173
2,0,136
0,0,139
0,0,110
0,0,38
0,0,0
0,0,34
0,0,38
0,0,39
0,0,40
0,0,42
0,0,32
0,0,41
0,0,36
0,0,52
0,0,86
0,0,46
0,0,32
0,0,27
0,0,105
0,0,114
0,0,66
0,0,77
0,0,46
0,0,105
0,0,73
0,0,97
0,0,25
0,0,32
0,0,41
0,0,33
0,0,56
0,0,22
0,0,32
0,0,36
0,0,29
0,0,36
0,0,42
0,0,64
0,0,103
0,0,176
0,0,103
0,0,145
0,0,38
0,0,115
0,0,191
0,0,0
0,0,33
0,0,44
0,0,39
0,0,29
0,0,47
0,0,33
0,0,40
0,0,33
0,0,38
0,0,74
0,0,31
0,0,26
0,0,31
0,0,42
0,0,37
0,0,41
0,0,35
0,0,30
0,0,26
0,0,34
0,0,27
0,0,27
0,0,26
0,0,36
0,0,34
0,0,46
0,0,30
0,0,26
0,0,24
0,0,25
0,0,35
0,0,48
0,0,88
0,0,93
0,0,152
0,0,146
0,0,81
0,0,36
0,0,49
0,0,248
0,0,0
0,0,35
0,0,38
0,0,29
0,0,29
0,0,39
0,0,30
0,0,27
0,0,39
0,0,27
0,0,37
0,0,35
0,0,30
0,0,33
0,0,33
0,0,30
0,0,35
0,0,28
0,0,27
0,0,35
0,0,37
0,0,25
0,0,34
0,0,28
0,0,33
0,0,37
0,0,48
0,0,36
0,0,35
0,0,35
0,0,33
0,0,32
0,0,33
0,0,43
0,0,64
0,0,97
0,0,122
0,0,208
0,0,163
0,0,192
0,0,288
0,0,0
0,0,35
0,0,46
0,0,44
0,0,40
0,0,44
0,0,40
0,0,39
0,0,39
0,0,33
0,0,31
0,0,26
0,0,29
0,0,25
0,0,26
0,0,32
0,0,20
0,0,27
0,0,33
0,0,29
0,0,35
0,0,28
0,0,30
0,0,32
0,0,33
0,0,32
0,0,58
0,0,34
0,0,40
0,0,35
0,0,36
0,0,23
0,0,45
0,0,42
0,0,35
0,0,42
0,0,76
0,0,125
0,0,130
0,0,161
0,0,243
0,0,0
0,0,44
0,0,40
0,0,42
0,0,34
0,0,40
0,0,38
0,0,35
0,0,34
0,0,31
0,0,31
0,0,31
0,0,33
0,0,30
0,0,37
0,0,25
0,0,24
0,0,28
0,0,32
0,0,27
0,0,38
0,0,28
0,0,28
0,0,24
0,0,45
0,0,29
0,0,45
0,0,33
0,0,34
0,0,34
0,0,33
0,0,39
0,0,39
0,0,49
0,0,40
0,0,34
0,0,48
0,0,66
0,0,124
0,0,138
0,0,204
0,0,0
0,0,42
0,0,39
0,0,39
0,0,45
0,0,43
0,0,39
0,0,28
0,0,34
0,0,36
0,0,40
0,0,37
0,0,32
0,0,36
0,0,25
0,0,31
0,0,27
0,0,28
0,0,32
0,0,25
0,0,26
0,0,29
0,0,27
0,0,32
0,0,43
0,0,36
0,0,39
0,0,29
0,0,33
0,0,31
0,0,23
0,0,30
0,0,43
0,0,48
0,0,33
0,0,41
0,0,46
0,0,58
0,0,92
0,0,71
0,0,72
0,0,0
0,0,37
0,0,39
0,0,33
0,0,36
0,0,38
0,0,29
0,0,36
0,0,38
0,0,37
0,0,31
0,0,38
0,0,30
0,0,32
0,0,25
0,0,31
0,0,40
0,0,33
0,0,31
0,0,28
0,0,32
0,0,29
0,0,28
0,0,40
0,0,42
0,0,37
0,0,51
0,0,28
0,0,39
0,0,37
0,0,39
0,0,44
0,0,34
0,0,53
0,0,36
0,0,33
0,0,43
0,0,70
0,0,63
0,0,88
0,0,101
0,0,0
0,0,44
0,0,49
0,0,29
0,0,40
0,0,46
0,0,28
0,0,40
0,0,38
0,0,32
0,0,35
0,0,30
0,0,33
0,0,31
0,0,31
0,0,36
0,0,31
0,0,31
0,0,33
0,0,33
0,0,31
0,0,30
0,0,31
0,0,45
0,0,38
0,0,35
0,0,43
0,0,40
0,0,44
0,0,35
0,0,37
0,0,43
0,0,50
0,0,38
0,0,36
0,0,40
0,0,33
0,0,91
0,0,75
0,-2,104
0,0,150
0,0,0
2,0,254
0,0,215
0,0,205
0,0,173
2,0,299
0,0,271
0,0,263
0,0,158
0,0,290
0,0,181
0,0,164
0,0,93
0,0,63
0,0,68
0,0,58
0,0,66
0,0,65
0,0,47
0,0,27
0,0,31
0,0,27
0,0,28
0,0,23
0,0,24
0,0,19
0,0,35
0,0,39
0,0,91
2,0,156
0,0,142
0,0,136
2,0,118
4,0,107
4,0,94
6,0,112
0,0,129
0,0,156
4,0,202
2,0,152
0,0,141
0,0,0
0,0,43
0,0,51
0,0,28
0,0,37
0,0,80
0,0,106
0,0,29
0,0,49
0,0,56
0,0,77
0,0,81
6,0,118
6,0,102
6,0,97
6,0,83
4,0,107
4,0,134
4,0,135
4,0,159
4,0,175
2,0,223
0,0,282
0,0,342
0,0,219
0,0,137
0,0,149
0,0,123
0,0,130
0,0,103
0,0,117
0,0,85
0,0,71
0,0,56
0,0,32
0,0,46
0,0,49
0,0,38
0,0,35
0,0,43
0,0,51
0,0,0
0,0,24
0,0,33
0,0,38
0,0,27
0,0,37
0,0,42
0,0,27
0,0,33
0,0,40
0,0,65
0,0,44
0,0,31
0,0,22
0,0,24
0,0,23
0,0,24
0,0,25
0,0,31
0,0,34
0,0,38
0,0,33
0,0,71
0,0,151
0,0,91
0,0,37
0,0,41
0,0,201
0,0,176
0,0,210
2,0,164
0,0,177
0,0,134
0,0,128
0,0,209
0,0,193
0,0,218
4,0,231
6,0,212
4,0,185
0,0,145
0,0,0
0,0,33
0,0,30
0,0,37
0,0,32
0,0,27
0,0,23
0,0,24
0,0,49
0,0,41
0,0,104
0,0,49
0,0,33
0,0,24
0,0,25
0,0,29
0,0,22
0,0,22
0,0,27
0,0,19
0,0,33
0,0,36
0,0,60
0,0,29
0,0,25
0,0,24
0,0,34
0,0,28
0,0,18
0,0,31
0,0,27
0,0,23
0,0,24
0,0,29
0,0,47
0,0,52
0,0,53
0,0,32
0,0,58
0,0,61
0,0,120
0,0,0
0,0,31
0,0,38
0,0,40
0,0,37
0,0,30
0,0,46
0,0,27
0,0,51
0,0,41
0,0,64
0,0,115
0,0,23
0,0,36
0,0,27
0,0,30
0,0,21
0,0,27
0,0,28
0,0,29
0,0,23
0,0,68
0,0,59
0,0,30
0,0,23
0,0,24
0,0,33
0,0,24
0,0,29
0,0,25
0,0,34
0,0,36
0,0,25
0,0,34
0,0,46
0,0,43
0,0,38
0,0,36
0,0,71
0,0,53
0,0,37
0,0,0
0,0,35
0,0,37
0,0,40
0,0,36
0,0,35
0,0,30
0,0,30
0,0,32
0,0,25
0,0,71
0,0,91
0,0,36
0,0,20
0,0,24
0,0,22
0,0,25
0,0,17
0,0,20
0,0,24
0,0,26
0,0,86
0,0,44
0,0,26
0,0,28
0,0,29
0,0,31
0,0,24
0,0,31
0,0,33
0,0,30
0,0,23
0,0,25
0,0,35
0,0,37
0,0,38
0,0,37
0,0,32
0,0,66
0,0,39
0,0,33
0,0,0
0,0,39
0,0,35
0,0,25
0,0,31
0,0,23
0,0,38
0,0,32
0,0,40
0,0,28
0,0,42
0,0,29
0,0,29
0,0,26
0,0,26
0,0,23
0,0,20
0,0,25
0,0,21
0,0,21
0,0,25
0,0,47
0,0,64
0,0,23
0,0,25
0,0,30
0,0,81
0,0,54
0,0,23
0,0,38
0,0,19
0,0,33
0,0,29
0,0,39
0,0,31
0,0,41
0,0,36
0,0,33
0,0,50
0,0,42
0,0,39
0,0,0
0,0,35
0,0,36
0,0,36
0,0,33
0,0,33
0,0,37
0,0,24
0,0,46
0,0,29
0,0,51
0,0,22
0,0,32
0,0,26
0,0,16
0,0,22
0,0,30
0,0,25
0,0,15
0,0,33
0,0,22
0,0,28
0,0,58
0,0,26
0,0,33
0,0,26
0,0,57
0,0,52
0,0,28
0,0,27
0,0,22
0,0,31
0,0,34
0,0,27
0,0,37
0,0,27
0,0,36
0,0,21
0,0,48
0,0,28
0,0,37
0,0,0
0,0,34
0,0,62
0,0,123
0,0,99
0,0,30
0,0,40
0,0,36
0,0,28
0,0,21
0,0,41
0,0,36
0,0,33
0,0,33
0,0,30
0,0,31
0,0,24
0,0,22
0,0,28
0,0,24
0,0,33
0,0,22
0,0,64
0,0,28
0,0,25
0,0,23
0,0,53
0,0,54
0,0,21
0,0,27
0,0,32
0,0,33
0,0,37
0,0,34
0,0,29
0,0,37
0,0,30
0,0,27
0,0,43
0,0,39
0,0,32
0,0,0
0,0,47
0,0,56
0,0,95
0,0,70
0,0,36
0,0,26
0,0,21
0,0,29
0,0,20
0,0,29
0,0,28
0,0,56
0,0,50
0,0,28
0,0,22
0,0,25
0,0,27
0,0,29
0,0,36
0,0,56
0,0,22
0,0,46
0,0,33
0,0,25
0,0,20
0,0,39
0,0,50
0,0,24
0,0,20
0,0,23
0,0,44
0,0,38
0,0,45
0,0,33
0,0,45
0,0,36
0,0,31
0,0,41
0,0,29
0,0,35
0,0,0
0,0,32
0,0,34
0,0,40
0,0,33
0,0,28
0,0,24
0,0,30
0,0,27
0,0,32
0,0,29
0,0,23
0,0,33
0,0,59
0,0,59
0,0,19
0,0,21
0,0,20
0,0,32
0,0,74
0,0,65
0,0,28
0,0,49
0,0,29
0,0,31
0,0,30
0,0,54
0,0,42
0,0,20
0,0,27
0,0,28
0,0,116
0,0,270
0,0,270
0,0,82
0,0,46
0,0,35
0,0,26
0,0,34
0,0,36
0,0,41
0,0,0
0,0,34
0,0,37
0,0,37
0,0,29
0,0,33
0,0,31
0,0,34
0,0,29
0,0,30
0,0,30
0,0,36
0,0,32
0,0,33
0,0,50
0,0,28
0,0,29
0,0,27
0,0,36
0,0,35
0,0,44
0,0,30
0,0,54
0,0,26
0,0,27
0,0,33
0,0,75
0,0,48
0,0,22
0,0,25
0,0,27
0,0,81
0,0,271
0,0,227
0,0,93
0,0,34
0,0,30
0,0,29
0,0,43
0,0,34
0,0,36
0,0,0
0,0,38
0,0,36
0,0,42
0,0,36
0,0,26
0,0,35
0,0,29
0,0,28
0,0,28
0,0,27
0,0,33
0,0,35
0,0,37
0,0,98
0,0,43
0,0,32
0,0,27
0,0,38
0,0,137
0,0,36
0,0,19
0,0,64
0,0,31
0,0,39
0,0,37
0,0,31
0,0,30
0,0,26
0,0,18
0,0,28
0,0,124
0,0,316
0,0,300
0,0,92
0,0,32
0,0,32
0,0,36
0,0,38
0,0,29
0,0,38
0,0,0
0,0,36
0,0,39
0,0,37
0,0,32
0,0,36
0,0,34
0,0,32
0,0,23
0,0,24
0,0,45
0,0,67
0,0,39
0,0,29
0,0,40
0,0,78
0,0,28
0,0,32
0,0,74
0,0,68
0,0,23
0,0,39
0,0,47
0,0,26
0,0,29
0,0,27
